Number,Precinct,Biden,Trump,Jorgensen,Other,Total
101,Brentsville,216,818,21,0,1055
102,Cedar Point,284,506,26,0,816
103,Glenkirk,198,355,12,0,565
104,Nokesville,193,620,22,0,835
105,Limestone,287,451,19,0,757
106,Westgate,416,267,8,0,691
107,Marsteller,287,454,18,0,759
108,Victory,427,522,21,0,970
109,Chris Yung,343,397,21,0,761
110,Buckland Mills,267,309,13,7,596
111,Bristow,128,182,8,0,318
112,Burke-Nickens,285,438,16,6,745
114,Piney Branch,131,220,7,2,360
201,Saunders,316,246,17,0,579
202,Marshall,166,377,15,0,558
203,Bennett,268,444,25,0,737
204,Ellis,363,353,24,0,740
205,Buckhall,259,526,24,0,809
206,Coles,146,376,23,0,545
207,Spriggs,347,391,12,0,750
208,Hylton,119,325,4,0,448
209,Independent Hill,107,371,18,0,496
210,Penn,127,342,9,4,482
211,Signal Hill,283,486,17,9,795
212,Yorkshire,629,553,25,0,1207
213,Saratoga,291,179,13,0,483
214,Lucasville,154,430,23,0,607
215,Rosa Parks,270,257,9,0,536
301,Dumfries,275,172,8,0,455
302,Potomac,290,100,5,0,395
303,Graham Park,279,144,12,0,435
304,Quantico,97,128,6,0,231
305,Pattie,249,358,15,0,622
306,Wash.-Reid,185,219,9,0,413
307,Henderson,195,299,16,0,510
308,Montclair,189,262,7,0,458
309,Ashland,160,275,9,0,444
310,Forest Park,286,235,8,0,529
311,Swans Creek,566,328,9,0,903
312,Triangle,329,249,16,4,598
313,Cardinal,275,192,8,0,475
314,Cabin Branch,198,227,8,0,433
315,Williams,217,74,5,0,296
401,Evergreen,157,510,17,0,684
402,Battlefield,135,416,15,0,566
403,Bull Run,171,279,9,0,459
404,Ben Lomond,312,241,21,0,574
405,Unity Braxton,543,387,14,0,944
406,Alvey,30,102,0,0,132
407,Heritage Hunt,82,314,6,0,402
408,Sudley,322,353,12,0,687
409,Tyler,305,402,19,0,726
410,Mountain View,172,316,14,0,502
411,Mullen,514,282,10,0,806
412,Catharpin,107,381,9,0,497
413,Reagan,188,462,18,0,668
501,Lake Ridge,301,287,14,0,602
502,Occoquan,292,231,7,0,530
503,Old Bridge,309,203,8,0,520
504,Rockledge,264,218,13,0,495
505,Mohican,289,345,17,0,651
506,Bethel,411,337,16,0,764
507,Chinn,296,250,14,0,560
508,Springwoods,241,175,11,0,427
509,Mc Coart,124,300,9,0,433
510,Yates Foard,177,438,16,0,631
511,Westridge,314,290,12,0,616
512,York,472,192,13,0,677
513,Lynnwood,303,329,18,0,650
514,Antietam,410,338,23,0,771
601,Dale,455,208,9,0,672
602,Beville,471,258,11,0,740
603,Hampton,363,155,3,0,521
604,Gideon,363,214,11,3,591
605,Minnieville,348,243,16,4,611
606,Bel Air,393,284,10,4,691
607,Kerrydale,467,287,10,2,766
608,Enterprise,359,248,20,0,627
609,King,393,291,16,1,701
610,Fitzgerald,475,235,8,0,718
611,Neabsco,334,198,6,0,538
701,Belmont,387,370,12,0,769
702,Library,377,187,15,0,579
703,Lynn,339,121,11,0,471
704,Porter,458,192,11,0,661
705,Potomac View,370,231,8,0,609
706,Rippon,448,295,8,0,751
707,Kilby,478,258,12,0,748
708,River Oaks,413,148,9,0,570
709,Freedom,397,144,8,0,549
710,Powells Creek,410,131,7,0,548
711,Grayson,568,266,13,4,851
712,Leesylvania,240,213,9,0,462
CAP,"Mail, Early Voting",115950,50487,1906,683,169026
,Provisional,917,396,33,8,1354
,TOTAL,144511,78895,3148,741,227295
